age,income,debt_to_income,credit_history_months,num_open_accounts,num_delinquencies,utilization,default
31,52053,0.5051,55,6,1,0.1488,0
21,44876,0.269,112,4,1,0.2499,0
52,52358,0.2769,92,7,1,0.5513,1
33,46701,0.1106,125,4,0,0.2543,0
43,74625,0.286,82,3,1,0.1839,1
44,41848,0.4162,44,6,0,0.5036,1
44,43176,0.4377,71,2,0,0.4182,1
28,96446,0.0357,86,3,0,0.2099,0
26,71542,0.6882,86,2,0,0.1789,0
27,75626,0.2599,148,2,1,0.4052,0
38,56440,0.556,27,4,1,0.5378,1
48,81134,0.1457,37,8,1,0.1995,0
43,60383,0.3687,101,6,0,0.2796,1
61,81333,0.1259,127,3,0,0.6452,0
46,96835,0.3715,112,4,1,0.4015,0
33,84087,0.3756,139,3,1,0.1731,0
42,74251,0.0836,100,5,0,0.2618,0
38,102443,0.5918,38,0,1,0.293,0
39,80813,0.2511,61,4,2,0.0829,1
58,78133,0.0905,87,2,1,0.2147,0
46,30000,0.0798,161,5,1,0.3109,0
25,30000,0.6137,108,4,1,0.4298,1
43,76075,0.4242,38,3,1,0.3965,0
25,46740,0.247,51,2,1,0.2135,1
28,210523,0.2718,90,5,0,0.162,0
39,86072,0.2158,179,4,0,0.089,0
40,105904,0.5143,98,2,0,0.1881,1
30,84625,0.2436,78,3,2,0.3304,0
22,82737,0.6913,156,5,0,0.5799,0
37,99464,0.4024,123,2,1,0.268,1
39,82217,0.0675,73,9,0,0.2674,0
31,146030,0.2885,157,4,0,0.1234,0
38,46601,0.3396,46,5,0,0.4867,1
38,123074,0.3628,132,4,0,0.4013,0
44,72193,0.2635,59,4,0,0.4027,0
38,51826,0.1053,82,4,0,0.4001,0
22,153245,0.6167,33,1,1,0.4971,0
36,69505,0.1423,88,3,0,0.4685,0
31,89707,0.262,118,5,1,0.3257,0
53,56740,0.6658,109,4,2,0.3613,0
40,130419,0.3925,40,3,0,0.362,0
29,67383,0.1355,100,4,1,0.4486,1
39,63062,0.0777,101,3,1,0.2104,0
